date,m2
1986/12/31,29.30
1987/12/31,24.00
1988/12/31,21.20
1989/12/31,18.30
1990/12/31,28.00
1991/12/31,26.50
1992/12/31,31.30
1993/12/31,37.30
1994/12/31,34.50
1995/12/31,29.50
1996/1/31,25.90
1996/2/29,27.20
1996/3/31,28.30
1996/4/30,28.50
1996/5/31,28.40
1996/6/30,28.20
1996/7/31,27.00
1996/8/31,27.50
1996/9/30,27.80
1996/10/31,26.40
1996/11/30,25.10
1996/12/31,25.30
1997/1/31,24.80
1997/2/28,21.70
1997/3/31,21.10
1997/4/30,20.60
1997/5/31,19.10
1997/6/30,19.10
1997/7/31,18.10
1997/8/31,17.20
1997/9/30,17.10
1997/10/31,16.40
1997/11/30,16.10
1997/12/31,17.30
1998/1/31,17.40
1998/2/28,16.70
1998/3/31,15.40
1998/4/30,14.60
1998/5/31,15.50
1998/6/30,14.60
1998/7/31,15.50
1998/8/31,15.00
1998/9/30,16.00
1998/10/31,16.30
1998/11/30,16.70
1998/12/31,15.30
1999/1/31,14.40
1999/2/28,18.00
1999/3/31,17.80
1999/4/30,17.90
1999/5/31,17.20
1999/6/30,17.70
1999/7/31,15.70
1999/8/31,16.00
1999/9/30,15.30
1999/10/31,14.50
1999/11/30,14.00
1999/12/31,14.70
2000/1/31,14.33
2000/2/29,13.51
2000/3/31,13.38
2000/4/30,14.46
2000/5/31,14.01
2000/6/30,14.39
2000/7/31,15.55
2000/8/31,14.82
2000/9/30,15.27
2000/10/31,14.20
2000/11/30,15.15
2000/12/31,13.99
2001/1/31,15.16
2001/2/28,15.20
2001/3/31,14.83
2001/4/30,13.94
2001/5/31,14.48
2001/6/30,14.30
2001/7/31,13.50
2001/8/31,13.60
2001/9/30,13.60
2001/10/31,12.90
2001/11/30,13.20
2001/12/31,14.40
2002/1/31,13.10
2002/2/28,13.00
2002/3/31,14.40
2002/4/30,14.10
2002/5/31,14.00
2002/6/30,14.70
2002/7/31,14.40
2002/8/31,15.50
2002/9/30,16.50
2002/10/31,17.00
2002/11/30,16.60
2002/12/31,16.78
2003/1/31,19.30
2003/2/28,18.10
2003/3/31,18.54
2003/4/30,19.20
2003/5/31,20.20
2003/6/30,20.83
2003/7/31,20.70
2003/8/31,21.55
2003/9/30,20.67
2003/10/31,20.97
2003/11/30,20.37
2003/12/31,19.60
2004/1/31,18.10
2004/2/29,19.40
2004/3/31,19.10
2004/4/30,19.10
2004/5/31,17.50
2004/6/30,16.20
2004/7/31,15.30
2004/8/31,13.63
2004/9/30,13.94
2004/10/31,13.45
2004/11/30,14.00
2004/12/31,14.60
2005/1/31,14.13
2005/2/28,13.90
2005/3/31,14.00
2005/4/30,14.10
2005/5/31,14.60
2005/6/30,15.67
2005/7/31,16.30
2005/8/31,17.34
2005/9/30,17.92
2005/10/31,17.99
2005/11/30,18.30
2005/12/31,17.57
2006/1/31,19.21
2006/2/28,18.80
2006/3/31,18.80
2006/4/30,18.90
2006/5/31,19.10
2006/6/30,18.43
2006/7/31,18.40
2006/8/31,17.90
2006/9/30,16.83
2006/10/31,17.10
2006/11/30,16.80
2006/12/31,16.94
2007/1/31,15.93
2007/2/28,17.80
2007/3/31,17.30
2007/4/30,17.10
2007/5/31,16.74
2007/6/30,17.06
2007/7/31,18.50
2007/8/31,18.10
2007/9/30,18.45
2007/10/31,18.47
2007/11/30,18.45
2007/12/31,16.72
2008/1/31,18.94
2008/2/29,17.48
2008/3/31,16.29
2008/4/30,16.94
2008/5/31,18.07
2008/6/30,17.37
2008/7/31,16.35
2008/8/31,16.00
2008/9/30,15.29
2008/10/31,15.02
2008/11/30,14.80
2008/12/31,17.82
2009/1/31,18.79
2009/2/28,20.48
2009/3/31,25.51
2009/4/30,25.89
2009/5/31,25.74
2009/6/30,28.46
2009/7/31,28.42
2009/8/31,28.53
2009/9/30,29.31
2009/10/31,29.42
2009/11/30,29.74
2009/12/31,27.68
2010/1/31,25.98
2010/2/28,25.52
2010/3/31,22.50
2010/4/30,21.48
2010/5/31,21.00
2010/6/30,18.46
2010/7/31,17.60
2010/8/31,19.20
2010/9/30,18.96
2010/10/31,19.30
2010/11/30,19.50
2010/12/31,19.72
2011/1/31,17.20
2011/2/28,15.70
2011/3/31,16.60
2011/4/30,15.30
2011/5/31,15.10
2011/6/30,15.90
2011/7/31,14.70
2011/8/31,13.50
2011/9/30,13.00
2011/10/31,12.90
2011/11/30,12.70
2011/12/31,13.60
2012/1/31,12.40
2012/2/29,13.00
2012/3/31,13.40
2012/4/30,12.80
2012/5/31,13.20
2012/6/30,13.60
2012/7/31,13.90
2012/8/31,13.50
2012/9/30,14.80
2012/10/31,14.10
2012/11/30,13.90
2012/12/31,13.80
2013/1/31,15.90
2013/2/28,15.20
2013/3/31,15.70
2013/4/30,16.10
2013/5/31,15.80
2013/6/30,14.00
2013/7/31,14.50
2013/8/31,14.70
2013/9/30,14.20
2013/10/31,14.30
2013/11/30,14.20
2013/12/31,13.60
2014/1/31,13.20
2014/2/28,13.30
2014/3/31,12.10
2014/4/30,13.20
2014/5/31,13.40
2014/6/30,14.70
2014/7/31,13.50
2014/8/31,12.80
2014/9/30,12.90
2014/10/31,12.60
2014/11/30,12.30
2014/12/31,12.20
2015/1/31,10.80
2015/2/28,12.50
2015/3/31,11.60
2015/4/30,10.10
2015/5/31,10.80
2015/6/30,11.80
2015/7/31,13.30
2015/8/31,13.30
2015/9/30,13.10
2015/10/31,13.50
2015/11/30,13.70
2015/12/31,13.30
2016/1/31,14.00
2016/2/29,13.30
2016/3/31,13.40
2016/4/30,12.80
2016/5/31,11.80
2016/6/30,11.80
2016/7/31,10.20
2016/8/31,11.40
2016/9/30,11.50
2016/10/31,11.60
2016/11/30,11.40
2016/12/31,11.30
2017/1/31,11.30
2017/2/28,11.10
2017/3/31,10.60
2017/4/30,10.50
2017/5/31,9.60
2017/6/30,9.40
2017/7/31,9.20
2017/8/31,8.90
2017/9/30,9.20
