date,irs
2004/11/30,2.3346
2004/12/31,2.3346
2005/1/31,2.3346
2005/2/28,2.3346
2005/3/31,2.3346
2005/4/30,2.3346
2005/5/31,2.3346
2005/6/30,2.3346
2005/7/31,2.3346
2005/8/31,2.3346
2005/9/30,2.3346
2005/10/31,2.3346
2005/11/30,2.3346
2005/12/31,1.3754
2006/1/31,1.3754
2006/2/28,1.3754
2006/3/31,1.3536
2006/4/30,1.3536
2006/5/31,1.3536
2006/6/30,1.6053
2006/7/31,1.6053
2006/8/31,1.6053
2006/9/30,1.7807
2006/10/31,1.7807
2006/11/30,1.7807
2006/12/31,2.0707
2007/1/31,2.0707
2007/2/28,2.0707
2007/3/31,2.0707
2007/4/30,2.0707
2007/5/31,2.0707
2007/6/30,2.2343
2007/7/31,2.2343
2007/8/31,2.2343
2007/9/30,2.3765
2007/10/31,2.3765
2007/11/30,2.3765
2007/12/31,3.2224
2008/1/31,3.2224
2008/2/29,3.2224
2008/3/31,3.2224
2008/4/30,3.2224
2008/5/31,3.1108
2008/6/30,3.1108
2008/7/31,3.1108
2008/8/31,3.135
2008/9/30,3.135
2008/10/31,3.135
2008/11/30,1.9336
2008/12/31,1.9336
2009/1/31,1.9336
2009/2/28,1.9336
2009/3/31,1.9336
2009/4/30,0.8481
2009/5/31,0.8078
2009/6/30,0.8159
2009/7/31,1.1262
2009/8/31,1.3119
2009/9/30,1.1666
2009/10/31,1.219
2009/11/30,1.1988
2009/12/31,1.1746
2010/1/31,1.1746
2010/2/28,1.1746
2010/3/31,1.1746
2010/4/30,1.2473
2010/5/31,1.2473
2010/6/30,1.8212
2010/7/31,1.8212
2010/8/31,1.8212
2010/9/30,1.6108
2010/10/31,1.8374
2010/11/30,2.677
2010/12/31,3.5978
2011/1/31,3.5978
2011/2/28,3.5978
2011/3/31,3.5978
2011/4/30,2.4903
2011/5/31,2.4903
2011/6/30,2.4903
2011/7/31,2.4903
2011/8/31,2.4903
2011/9/30,2.4903
2011/10/31,2.4903
2011/11/30,2.4903
2011/12/31,2.4903
2012/1/31,2.4903
2012/2/29,2.4903
2012/3/31,2.4903
2012/4/30,2.4903
2012/5/31,2.4903
2012/6/30,2.4903
2012/7/31,2.4903
2012/8/31,2.4903
2012/9/30,2.4903
2012/10/31,2.9389
2012/11/30,3.1324
2012/12/31,3.1324
2013/1/31,3.1324
2013/2/28,3.1324
2013/3/31,3.1324
2013/4/30,3.1324
2013/5/31,3.1324
2013/6/30,3.1324
2013/7/31,3.1324
2013/8/31,3.1324
2013/9/30,3.1324
2013/10/31,3.7939
2013/11/30,3.7939
2013/12/31,4.869
2014/1/31,4.869
2014/2/28,4.869
2014/3/31,4.869
2014/4/30,4.869
2014/5/31,4.869
2014/6/30,4.869
2014/7/31,4.869
2014/8/31,4.869
2014/9/30,4.869
2014/10/31,3.4833
2014/11/30,3.4833
2014/12/31,3.3995
2015/1/31,3.3995
2015/2/28,3.3995
2015/3/31,3.3995
2015/4/30,3.3995
2015/5/31,3.3995
2015/6/30,3.3995
2015/7/31,3.3995
2015/8/31,3.3995
2015/9/30,3.3995
2015/10/31,2.3321
2015/11/30,2.5352
2015/12/31,2.2809
2016/1/31,2.0963
2016/2/29,1.9896
